requested_at,confirmed_at,finished_at,predicted_duration
2019-06-07 14:06:12.577000,2019-06-07 14:06:24.900000,2019-06-07 14:16:28.512000,286
2019-06-07 15:33:27.214000,2019-06-07 15:33:55.693000,2019-06-07 15:49:49.955000,732
2019-06-06 18:57:30.838000,2019-06-06 19:01:28.106000,2019-06-06 19:18:10.694000,691
2019-06-06 20:38:29.792000,2019-06-06 20:38:40.279000,2019-06-06 20:51:24.785000,502
2019-06-06 22:48:39.698000,2019-06-06 22:48:58.585000,2019-06-06 23:00:15.443000,413
2019-06-06 23:04:36.304000,2019-06-06 23:13:39.993000,2019-06-06 23:32:57.287000,441
2019-06-07 14:44:21.101000,2019-06-07 14:45:14.798000,2019-06-07 14:52:11.948000,255
2019-06-07 16:56:53.674000,2019-06-07 16:57:07.947000,2019-06-07 17:08:58.443000,448
2019-06-07 17:08:15.970000,2019-06-07 17:20:19.508000,2019-06-07 17:29:01.750000,331
2019-06-07 17:16:00.083000,2019-06-07 17:20:26.258000,2019-06-07 17:38:26.463000,646
2019-06-07 22:19:30.955000,2019-06-07 22:23:56.635000,2019-06-07 22:32:14.098000,280
2019-06-07 16:22:46.025000,2019-06-07 16:23:00.231000,2019-06-07 16:32:57.533000,337
2019-06-10 14:23:06.100000,2019-06-10 14:29:51.655000,2019-06-10 14:44:51.968000,546
2019-06-10 14:24:41.241000,2019-06-10 14:31:11.353000,2019-06-10 14:54:41.448000,269
2019-06-10 14:25:46.531000,2019-06-10 14:59:40.444000,2019-06-10 15:13:46.082000,640
2019-06-10 15:36:16.871000,2019-06-10 15:47:20.673000,2019-06-10 16:01:49.008000,417
2019-06-10 17:06:48.538000,2019-06-10 17:07:14.252000,2019-06-10 17:17:54.558000,484
2019-06-10 14:22:03.993000,2019-06-10 14:29:39.935000,2019-06-10 14:44:58.085000,107
2019-06-10 14:53:02.640000,2019-06-10 15:00:46.421000,2019-06-10 15:30:30.594000,825
2019-06-10 15:43:32.609000,2019-06-10 15:47:32.476000,2019-06-10 15:57:49.323000,384
2019-06-10 20:23:51.220000,2019-06-10 20:29:05.782000,2019-06-10 20:41:08.105000,375
2019-06-10 20:35:47.974000,2019-06-10 21:11:41.911000,2019-06-10 21:18:23.356000,217
2019-06-10 21:15:59.625000,2019-06-10 21:29:17.829000,2019-06-10 21:36:12.905000,254
2019-06-10 21:46:16.751000,2019-06-10 21:48:15.707000,2019-06-10 22:00:26.724000,625
2019-06-10 22:04:41.773000,2019-06-10 22:09:15.547000,2019-06-10 22:25:00.926000,523
2019-06-11 15:24:19.022000,2019-06-11 15:24:36.792000,2019-06-11 15:37:58.694000,504
2019-06-11 16:58:41.671000,2019-06-11 16:59:03.381000,2019-06-11 17:09:00.036000,343
2019-06-10 22:38:09.581000,2019-06-10 22:39:18.585000,2019-06-10 22:53:08.571000,547
2019-06-11 13:59:50.213000,2019-06-11 14:00:23.294000,2019-06-11 14:08:26.782000,342
2019-06-11 14:52:56.209000,2019-06-11 14:53:12.167000,2019-06-11 15:03:54.813000,435
2019-06-11 15:55:00.801000,2019-06-11 16:16:19.521000,2019-06-11 16:26:53.727000,575
2019-06-11 17:59:22.466000,2019-06-11 18:28:32.981000,2019-06-11 18:47:06.749000,664
2019-06-11 19:20:08.189000,2019-06-11 19:24:46.145000,2019-06-11 19:37:02.114000,557
2019-06-11 20:46:28.644000,2019-06-11 21:03:07.558000,2019-06-11 21:15:13.885000,598
2019-06-12 14:05:00.229000,2019-06-12 14:05:53.186000,2019-06-12 14:21:03.182000,789
2019-06-12 14:13:01.677000,2019-06-12 14:31:47.820000,2019-06-12 14:42:26.444000,336
2019-06-11 23:10:07.950000,2019-06-11 23:10:25.477000,2019-06-11 23:26:27.358000,583
2019-06-13 15:57:07.784000,2019-06-13 15:57:29.497000,2019-06-13 16:15:26.174000,694
2019-06-13 17:39:03.396000,2019-06-13 17:39:14.087000,2019-06-13 17:54:58.073000,631
2019-06-13 14:05:35.704000,2019-06-13 14:05:49.597000,2019-06-13 14:23:10.795000,631
2019-06-13 14:08:34.470000,2019-06-13 14:09:10.074000,2019-06-13 14:27:39.317000,610
2019-06-13 14:33:47.292000,2019-06-13 14:40:13.211000,2019-06-13 15:16:58.192000,789
2019-06-13 16:05:25.452000,2019-06-13 16:23:43.304000,2019-06-13 16:41:15.621000,997
